Feature,Importance_Mean,Importance_STD,Importance_For_Share,Importance_Percent
District_Quận 2,18.7033,0.592,18.703293716585836,37.56
Log_Area_m2,12.3179,0.5857,12.31792575172031,24.74
District_Quận 1,11.0451,0.4884,11.045082219116972,22.18
District_Quận 7,2.3912,0.1095,2.391180354856116,4.8
District_Bình Thạnh,1.9928,0.0893,1.9927919233036904,4.0
Furniture_Encoded,0.9882,0.4961,0.9881807622955477,1.98
District_Quận 4,0.603,0.0367,0.6029930242677708,1.21
District_Quận 10,0.3532,0.0365,0.3531669944020891,0.71
District_Phú Nhuận,0.3117,0.0142,0.3116942270904886,0.63
District_Quận 5,0.2676,0.0142,0.2676063662882065,0.54
